Name,Calories,FatContent,CarbohydrateContent,ProteinContent,SugarContent,SodiumContent,Images
Chocolate Peanut Brownies,137.1,7.5,15.6,2.8,8.6,97.6,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/22/CrrOGHm2SXKd0V51kRQZ_20161221_151029.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/22/Tcg6G3dSQLKEIF2fvLZA_20161221_151040.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/22/xEe9sSzmT6RwD6D15O0w_20160411_115100.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/22/RnOlDIRcQlyT1Ox45zLW_20160411_115035.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/22/picxmNbyN.jpg"")"
Afghan Biscuits,109.8,5.9,14.0,0.9,7.9,58.5,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/26/picAuZDeX.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/26/picfGoSwa.jpg"")"
Simmered Round Steak,300.5,17.9,9.9,24.4,7.5,792.7,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/30/piclmStT1.jpg"""
Jell-O Ribbon Salad,225.2,11.1,30.1,3.3,25.9,157.9,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/32/picEEQDrV.jpg"""
Yummy Fish Pie,737.9,35.0,83.5,25.5,6.0,548.9,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/36/picNoolEG.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/36/picy6yyE6.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/36/picJHfUWw.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/36/pic0LN5if.jpg"")"
Tomato Stuffed Red Bell Peppers,170.7,14.9,9.9,1.8,6.5,7.2,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/38/picgEyWHe.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/38/pic6VSitK.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/38/pictZzBJ2.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/38/picxD7dG4.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/38/9438.jpeg""
)"
Rack of Spring Lamb with Roasted Garlic,150.0,10.2,13.2,2.5,0.9,340.8,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/40/picGI4kvy.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/40/picgwP7jk.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/40/pic0uXLiS.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/40/picZX46zA.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/40/picuTJob3.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/40/piceJjuOl.jpg"")"
Spanakopita,84.9,5.9,5.2,3.1,0.5,148.0,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/42/picX5UZQO.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/42/picl8QvWN.jpg"")"
Pecos Chicken-Cornbread Salad,392.7,16.9,38.5,23.3,8.6,635.5,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/43/picFKxpzY.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/43/picBqm5Fk.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/43/picAqYLq2.jpg"")"
Ham and Cheese Pie,624.6,42.9,40.7,19.6,1.8,683.6,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/46/w159XplaSiO5N8GPpmhn-158.JPG"""
Beefed up Biscuit Casserole,526.9,35.6,7.2,43.5,4.3,732.0,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/47/picKpzqZq.jpg"""
Crisp Cucumber Freezer Pickles,603.1,0.5,150.3,2.6,141.2,2339.9,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/58/picFpfWBw.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/58/piczBUGgD.jpg"")"
Pork Tenderloin on a Vegetable Bed,244.9,7.5,15.7,29.4,9.2,465.6,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/63/picNhHSDc.jpg"""
Cream of Nettle Soup (vegan),91.1,2.1,13.4,4.7,5.9,63.9,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/69/picupw8NR.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/69/pic9a9Dyf.jpg"")"
Salad of Colours,105.8,0.7,24.1,4.0,12.8,35.6,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/73/9473.jpg"""
Crab Rice,160.9,1.8,6.3,28.5,1.1,572.9,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/75/QD5I6o5dSguUQIkd2d0K_IMG-3659.JPG"", ""https://img.sndimg.com/food/image/upload/v1/img/feed/9475/mt4ZqUBYQqGaKdMQCIxE_IMG-3659.JPG"")"
Beet and Walnut Salad with Dill,139.8,9.9,11.6,3.2,8.2,78.0,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/78/picSn6Uwk.jpg"""
Potato and Ham Soup,402.8,15.5,53.4,13.9,3.0,581.7,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/83/rjRkF8S5QYaDwAuPaAsw_Potato%20and%20Ham%20Soup_0289.JPG"""
Chicken and Mustard Crumble,347.5,9.8,28.5,35.6,6.8,377.5,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/86/picNTsihy.jpg"""
Black Coffee  Chocolate Cake,3805.6,128.9,616.9,55.6,412.4,3292.9,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/90/picLKvMix.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/90/pic079LuV.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/90/picxdsO0V.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/90/pic8bRJgM.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/90/picEfqLwk.jpg""
)"
Red Lobster Cheddar Bay Biscuits Copycat,280.5,19.5,21.4,5.1,3.8,479.0,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/94/A41CNqEuTTKbFKSkb6a9_CB%205%20-%20final_3.png"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/94/JZFv9T0BRemsSQLYhvPD_CB%206%20-%20final_4.png"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/94/lab9OIt5TJ2IopKIiSfU_image.jpeg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/94/4ouUD3arSVeWDrVuxGhM_CB%203%20-%20final_1.png"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/94/pic6ZNrAv.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/94/picgC8n5X.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/94/y1OwhMb8QImI9L2r1W4I_15E6C022-8E4A-4088-9038-70B7916F159A.jpeg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/94/Puy4UrX0R3KlJ7jQlLe0_CB%204%20-%20final_2.png"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/94/vnGnPzKTlyDNcHMcyKsQ_received_1573338729604837.jpeg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/94/ztwIJUYZSCm7L7K8UdRW-photo-5.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/94/3z8xSZWSQuUAkXaw5zie-photo-4.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/94/pics9Pir6.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/94/picNczeHy.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/94/picw3ZyrJ.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/94/picqyRbHF.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/94/picdoAtwq.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/94/picytOgC5.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/94/picnOWMjK.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/94/picI4YNTC.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/94/picefOIqR.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/94/picsQ2vSX.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/94/picUYZjQp.jpg""
)"
Chicken and Broccoli Braid,573.9,17.2,83.1,21.1,7.9,930.4,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/97/pico4UgSn.jpg"""
Raspberry-Lime Iced Tea,68.8,0.2,17.6,0.4,14.1,0.6,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/99/Z5kCNBUSrWbZTD0POxVN_26.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/99/AA4DOyeR7yBjU1kLyMPQ_27.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/99/01492819066.jpeg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/99/8xjzqA3jToe9JcK0ZTqd_28.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/94/99/picvxUKiA.jpg"")"
Lady Marmalade Chicken,290.6,14.8,7.5,30.6,6.2,182.2,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/00/picMfoikG.jpg"""
Pistachio  Pudding Supreme Aka Watergate Salad,134.7,10.6,9.4,1.9,7.1,43.5,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/03/pickADVMe.jpg"""
BBQ Cantonese Pork Tenderloin,304.1,8.3,5.4,48.5,3.2,931.5,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/05/picyIh4s7.jpg"""
Lemonade Scones,197.5,5.8,32.6,3.5,8.4,152.1,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/11/picWg49Q1.jpg"""
Lamingtons,329.9,6.1,67.0,3.3,53.8,139.8,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/12/picQu0YrR.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/12/picoRwNty.jpg"")"
Creamy cold potato soup (Vichyssoise),247.2,15.3,26.0,3.3,4.3,95.2,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/13/U8ATU8FFT16QTld58lFB_DSC_0434.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/13/M4uavayGRa2lMN8M8jV0_DSC_0427.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/13/LOEoSDLBQGKdqI0sGn7c_DSC_0426.JPG"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/13/ONt3zkVFQOJCg8l7DeFg_DSC_0428.JPG"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/13/picxbPodd.jpg"")"
30 Second Sandwich,321.0,15.5,30.0,15.0,2.1,804.2,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/18/picYoxIFS.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/18/pic81e5q7.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/18/picvuJBYF.jpg"")"
Anzac Biscuits,283.7,14.0,38.2,3.1,21.2,195.6,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/27/pic3fb7Rm.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/27/pic17rt7J.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/27/picXKFqRx.jpg"")"
Addicting Chicken Parmesan,643.2,40.8,44.3,24.6,10.8,1862.3,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/28/picvdwfck.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/28/picDLUdD0.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/28/pic2SUzn3.jpg"")"
Zucchini Pineapple,285.4,0.8,70.6,2.7,65.7,17.7,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/31/picBVw6ZD.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/31/picz8jJAR.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/31/picEgjzb1.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/31/picYCuVy6.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/31/picA9BD20.jpg""
)"
Ooey Gooey Cinnamon Rolls,889.1,43.3,118.2,10.2,53.1,775.7,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/33/ZZC9JVKeQRy7CxLgquhS_untitled-2568.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/33/MJsWxtIcSDa6g3yTILgG_untitled-2567.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/33/UYqKlsTGWc4aOO7zMJuA_untitled-2599.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/33/XJ79DnIdQbyTzeQuSZyR_IMG_20190801_125002.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/33/01478013955.jpeg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/33/01478013794.jpeg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/33/Zmc7OkpuSja0ajbhe6io_DSC_0165.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/33/e6oemEy9SXSaNfN3lh8T_DSC_0167.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/33/rDKd9nPTQSSEwmd9KoFl_DSC_0169.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/33/pic84zJnf.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/33/picuHsZD7.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/33/picOk2GEj.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/33/picDmsCu0.jpg""
)"
Lemon Asparagus Chicken,312.9,18.4,3.8,31.4,0.3,315.8,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/38/picWddqqW.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/38/picpSMBGl.jpg"")"
Cream of Chicken Stew,467.9,22.3,45.3,21.7,4.5,241.4,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/39/picgwyhNv.jpg"""
Sour Cream Chicken Enchiladas,241.6,12.4,29.4,5.4,2.2,714.1,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/45/picQirKHh.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/45/picIGQUQe.jpg"")"
Poinsettia Cocktail,105.6,0.1,10.4,0.1,8.0,5.6,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/47/picQM0Cl8.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/47/pic2m9p36.jpg"")"
Chocolate Confetti Squares,230.4,13.4,28.0,3.7,20.6,111.9,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/48/BCvM98F5ThqXAb9iwgti_DSC_0906.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/48/5A0qrnl0TTa69GpKZs7e_DSC_0907.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/48/9Vv1hXltQfOxgzJOmJhU_DSC_0908.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/48/picrpemWb.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/48/picZuaEZR.jpg"")"
Juiciest Beer Can Chicken,745.5,53.3,4.6,50.8,0.0,3692.3,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/49/picFbDmuA.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/49/picBY8N2Z.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/49/picq4N2GY.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/49/picYEVsY9.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/49/picqDXGsy.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/49/picF2yM1a.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/49/picR0ilrQ.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/49/picBtgl0z.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/49/pic2Q6RWq.jpg"")"
BBQ Chicken With Spicy Yogurt,197.8,2.5,11.5,30.2,2.4,335.3,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/54/pic3gFXJq.jpg"""
Herbed Roasted Vegetables,75.3,2.4,12.9,1.2,3.6,135.8,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/55/picSsgjLw.jpg"""
Italian Olive Bread,252.3,4.3,46.4,6.4,4.5,522.4,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/95/57/picpD0Yts.jpg"""
Vegetarian Barley-Vegetable Soup,178.2,6.3,28.3,4.1,4.2,664.4,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/96/93/pictcjCXZ.jpg"""
Corn & Veggie Salad with Spicy Lime Dressing,368.0,1.0,84.5,6.9,16.6,21.3,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/96/94/picYTyDj6.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/96/94/picuVeibU.jpg"")"
Mandarin Orange & Broccoli Salad,199.7,10.0,27.2,5.2,18.0,22.3,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/97/14/picwUhjjd.jpg"""
Peachy Crock Pot Pork Chops,618.8,27.3,27.1,63.6,24.8,468.2,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/97/15/picnBXkF8.jpg"""
Sesame Broccoli,29.4,0.7,4.9,1.9,1.7,191.0,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/97/16/picyPg66g.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/97/16/picl4A84u.jpg"")"
Strawberry Shortcake,196.8,5.5,33.0,4.4,11.2,186.7,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/97/17/picB52su5.jpg"""
Carrot Pineapple Bread,2627.2,118.3,366.7,30.1,215.2,1950.1,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/97/25/S2H1rTbSeKnuVLp1fXIl_IMG_1193.JPG"""
Pork Tenderloins Asian Style,218.4,4.1,20.3,25.6,18.2,1066.0,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/97/28/picWLVekL.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/97/28/picHvcWSb.jpg"")"
Crock Pot Apple or Cherry Cobbler,926.7,37.9,141.5,6.4,55.4,1069.0,"c(""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/97/32/eTiRTzfTRUiLkJMmsdye_crockpot-cherry-cobbler-6.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/97/32/9mtYRMH9Rg6VYSHcLZJv_crockpot-cherry-cobbler-3.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/97/32/AMi04SjrQKiVZVtU66vY_crockpot-cherry-cobbler-1.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/97/32/picEY2BUS.jpg"", 
""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/97/32/pic8djuVu.jpg"", ""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/97/32/piclVNlxF.jpg"")"
Cake Fantasy,314.6,18.2,36.5,3.0,30.4,84.3,"""https://img.sndimg.com/food/image/upload/w_555,h_416,c_fit,fl_progressive,q_95/v1/img/recipes/97/34/9734.jpg"""
